0	0.0536	0.1046	0.1529	0.1985	0.2414	0.2817	0.3194	0.3544	0.3867	0.4163	0.4432	0.4672	0.4884	0.5064	0.5213	0.5326	0.5402	0.5437	0.5426	0.5363	0.5241	0.505	0.4777	0.4407	0.3916	0.3274	0.2439	0.135	0
0	0.059	0.115	0.1678	0.2176	0.2644	0.3083	0.3492	0.3873	0.4226	0.455	0.4846	0.5113	0.5351	0.5559	0.5735	0.5877	0.5984	0.605	0.6072	0.6043	0.5956	0.5798	0.5555	0.5206	0.4719	0.4049	0.3125	0.1833	0
0	0.0617	0.1201	0.1751	0.227	0.2757	0.3213	0.3639	0.4036	0.4403	0.4742	0.5052	0.5333	0.5585	0.5808	0.5999	0.6158	0.6283	0.6368	0.6411	0.6406	0.6342	0.6211	0.5994	0.5668	0.5199	0.4531	0.3576	0.2175	0
0	0.0634	0.1233	0.1798	0.2329	0.2828	0.3296	0.3732	0.4139	0.4516	0.4864	0.5183	0.5473	0.5735	0.5968	0.617	0.6341	0.6477	0.6576	0.6634	0.6644	0.6599	0.6486	0.6288	0.5982	0.5527	0.4864	0.3886	0.2398	0
0	0.0645	0.1254	0.1828	0.2369	0.2876	0.3351	0.3795	0.4208	0.4592	0.4946	0.5272	0.557	0.5839	0.6079	0.629	0.6469	0.6616	0.6726	0.6796	0.682	0.6789	0.6693	0.6513	0.6224	0.5786	0.5131	0.4144	0.2593	0
1.149	1.127	1.105	1.081	1.056	1.029	1.001	0.971	0.94	0.907	0.872	0.836	0.798	0.759	0.717	0.675	0.631	0.586	0.54	0.492	0.444	0.395	0.346	0.296	0.246	0.195	0.145	0.095	0.046	0
4.612	4.528	4.438	4.342	4.241	4.134	4.02	3.901	3.774	3.642	3.503	3.357	3.204	3.045	2.879	2.708	2.532	2.35	2.165	1.975	1.782	1.586	1.388	1.188	0.987	0.786	0.586	0.387	0.19	0
10.42	10.23	10.027	9.812	9.583	9.341	9.085	8.815	8.53	8.231	7.916	7.587	7.242	6.882	6.508	6.121	5.722	5.312	4.893	4.464	4.029	3.586	3.139	2.688	2.235	1.781	1.329	0.88	0.438	0
18.622	18.282	17.921	17.536	17.128	16.696	16.238	15.755	15.246	14.71	14.148	13.558	12.941	12.297	11.628	10.935	10.221	9.488	8.737	7.971	7.191	6.4	5.6	4.793	3.982	3.171	2.363	1.562	0.772	0
29.288	28.756	28.189	27.585	26.945	26.265	25.547	24.787	23.987	23.144	22.26	21.333	20.362	19.348	18.294	17.204	16.08	14.926	13.744	12.538	11.31	10.065	8.805	7.534	6.258	4.982	3.71	2.449	1.207	0
0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.03	0.03	0.03	0.029	0.028	0.028	0.027	0.026	0.025	0.024	0.023	0.022	0.021	0.02	0.018	0.017	0.015	0.014	0.012
0.112	0.113	0.114	0.114	0.115	0.115	0.115	0.115	0.115	0.114	0.113	0.112	0.111	0.109	0.107	0.104	0.101	0.098	0.095	0.091	0.087	0.082	0.078	0.072	0.067	0.061	0.055	0.049	0.043	0.036
0.242	0.244	0.246	0.248	0.249	0.25	0.25	0.25	0.249	0.248	0.246	0.243	0.24	0.236	0.231	0.225	0.219	0.212	0.204	0.195	0.185	0.175	0.164	0.152	0.139	0.126	0.112	0.098	0.083	0.068
0.422	0.426	0.429	0.432	0.434	0.435	0.436	0.436	0.435	0.433	0.429	0.425	0.419	0.411	0.402	0.392	0.381	0.367	0.353	0.337	0.319	0.3	0.28	0.259	0.236	0.212	0.186	0.16	0.133	0.105
0.652	0.658	0.664	0.668	0.672	0.674	0.675	0.675	0.673	0.67	0.664	0.657	0.648	0.636	0.622	0.606	0.587	0.566	0.543	0.517	0.49	0.46	0.427	0.393	0.356	0.318	0.277	0.236	0.192	0.148
